,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
445,Teespring,462,"Teespring, Zappos Family of Companies, Nasty Gal Inc., BT, Fabrily","Northern Kentucky University, Daffodil International University-DIU, Brown University, National University, University of Louisville","Commerce and Shopping, Clothing and Apparel, Financial Services, Design","Providence, Rhode Island, United States",1587,Series A,"$5,000,000",61875000,-2.6,"Crowdfunding, Fashion, E-Commerce",01/01/2011,Operating,06/22/2017,61875000,0.41,61.875,0.899
448,MakeSpace,92,"MakeSpace, Vector Marketing, ANN INC. (parent company of Ann Taylor, LOFT & Lou & Grey), Tough Mudder Inc, American Express","General Assembly, University of Virginia, Stanford University, The George Washington University - School of Business, New York University","Commerce and Shopping, Financial Services","Chicago, Illinois, United States",2318,Series B,"$62,000,000",87200000,-0.6,"FinTech, E-Commerce, Gift Card",02/03/2010,Operating,01/22/2015,87200000,2.82,87.2,0.83
449,Upstart,136,"Google, Upstart, Wells Fargo, PwC, Stanford University","San Jose State University, San Francisco State University, Stanford University, Massachusetts Institute of Technology, University of California Berkeley","Internet Services, Financial Services, Lending and Investments","San Carlos, California, United States",1606,Series D,"$32,500,000",85650000,-1.7,"Internet, Credit, FinTech, Lending, Financial Services, Finance, Personal Finance",04/01/2012,Operating,03/02/2017,85650000,0.71,85.65,0.906
450,Fabhotels,174,"FabHotels, Info Edge India Ltd, Mahindra Holidays & Resorts India Limited, Infoedge India Ltd.,, ITC Hotels","Kendriya Vidyalaya, Uttar Pradesh Technical University, Delhi University, Guru Gobind Singh Indraprastha University, Delhi College of Engineering","Travel and Tourism, Commerce and Shopping","Gurgaon, Haryana, India",1607,Series B,"$25,000,000",35250000,5.6,"Hospitality, E-Commerce, Travel Accommodations, Hotel",01/01/2015,Operating,07/26/2017,35250000,0.31,35.25,0.899
451,MemSQL,120,"Oracle, Microsoft, MemSQL, Palantir Technologies, NetApp","Stanford University, Carnegie Mellon University, University of California Berkeley, Massachusetts Institute of Technology, University of Washington","Data and Analytics, Software","San Francisco, California, United States",1609,Series C,"$36,000,000",78100000,-2.4,"Software, Analytics, Database",01/01/2011,Operating,04/21/2016,78100000,1.58,78.1,1.328
452,Dialpad,185,"Dialpad, Google, Rackspace, the #1 managed cloud company, Dell, Fuze","Simon Fraser University, Santa Clara University, San Jose State University, Stanford University, University of California Berkeley","Apps, Hardware, Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",1612,Series C,"$35,000,000",53000000,-0.9,"Meeting Software, Mobile Apps, Telecommunications, Web Development, Mobile, Unified Communications, Software",04/01/2011,Operating,05/19/2015,53000000,2.5,53,0.84
453,Freshly,106,"U-Haul International, Inc, Pixable, Robert Half Technology, Schreiber Foods, HelloFresh","New York University, University of Arizona, University of Phoenix, Rutgers University, Rensselaer Polytechnic Institute","Commerce and Shopping, Food and Beverage, Transportation, Internet Services","New York, New York, United States",1638,Series C,"$77,000,000",107000000,-3.1,"Internet, E-Commerce, Food Delivery",01/01/2012,Operating,06/20/2017,107000000,0.41,107,0.901
454,Moovit,132,"Moovit, Intel Corporation, Israel Defense Forces, Mamram, Tel Aviv University","Tel Aviv University, Ben-Gurion University of the Negev, Bar-Ilan University, The Hebrew University of Jerusalem, The Academic College of Tel-Aviv, Yaffo","Navigation and Mapping, Transportation","Ness Ziona, HaMerkaz, Israel",1639,Series Unknown,,81500000,-1.9,"Public Transportation, Transportation, Navigation, Crowdsourcing",02/01/2012,Operating,11/03/2015,81500000,2.04,81.5,0.766
457,Aquion Energy,65,"Aquion Energy, Firefly Energy, Kennametal, Carnegie Mellon University, Procter & Gamble","Penn State University, University of Pittsburgh, Triangle Tech, Colorado Technical University, Carnegie Mellon University","Energy, Sustainability","Pittsburgh, Pennsylvania, United States",1644,Series Unknown,"$33,000,000",182300000,-1.1,"CleanTech, Renewable Energy, Energy, Energy Storage, Energy Management",01/01/2007,Operating,04/27/2016,162300000,1.56,162.3,0.881
458,WayUp,169,"WayUp, LinkedIn, Google, Wyng, Goldman Sachs","Rutgers University, Syracuse University, Lehigh University, University of Michigan, Baruch College","Professional Services, Education, Internet Services","New York, New York, United States",1647,Series B,"$18,500,000",27468000,-2.2,"Education, Internet, Recruiting",09/01/2014,Operating,03/23/2017,27468000,0.65,27.468,0.897
459,Mu Sigma,3302,"Mu Sigma Inc., Tata Consultancy Services, Infosys, Cognizant, Accenture","Kendriya Vidyalaya, Manipal Institute of Technology, Vellore Institute of Technology, SRM University, Birla Institute of Technology and Science, Pilani","Information Technology, Data and Analytics","Northbrook, Illinois, United States",1648,Series Unknown,"$1,500,000",211350000,-1.1,"Information Services, Analytics, Information Technology",01/01/2004,Operating,03/10/2016,211350000,1.69,211.35,0.784
462,Shape Security,182,"Akamai Technologies, Hewlett Packard Enterprise, Cisco, Google, Shape Security","Stanford University, San Jose State University, Tsinghua University, University of California Davis, California Polytechnic State University-San Luis Obispo",,"Newport Beach, California, United States",40152,Series A,"$9,500,000",9500000,,,01/01/2017,Operating,06/08/2017,9500000,0.44,9.5,1.348
463,Kensho,116,"Kensho, Harvard University, Google, Morgan Stanley, Deloitte","Harvard University, Princeton University, Massachusetts Institute of Technology, Columbia University in the City of New York, University of Oxford","Information Technology, Data and Analytics, Software, Internet Services, Artificial Intelligence","Cambridge, Massachusetts, United States",1659,Series B,"$50,000,000",67495000,-1.3,"Software, Cloud Data Services, Machine Learning, Analytics",05/01/2013,Operating,02/28/2017,67000000,0.72,67,1.198
464,BaubleBar,90,"BaubleBar Inc., Bloomingdale's, Gilt.com, Macy's, Citi","Savannah College of Art and Design, CUNY New York City College of Technology, Harvard Business School, New Jersey Institute of Technology, Fashion Institute of Technology","Commerce and Shopping, Clothing and Apparel, Consumer Goods, Design","New York, New York, United States",1661,Debt Financing,"$13,000,000",48600000,1.9,"Jewelry, Fashion, E-Commerce",01/01/2010,Operating,03/29/2017,35600000,0.64,35.6,0.898
465,Meituan-Dianping,8582,"Meituan-Dianping, Baidu Inc., Tencent, qunar.com, IBM","Zhengzhou University, Hebei University, Zhejiang University, Beijing University of Posts and Telecommunications, Peking University","Apps, Media and Entertainment, Information Technology, Software, Sales and Marketing, Internet Services, Advertising","Shanghai, Shanghai, China",1663,Series Unknown,,4344000000,-1.4,"Guides, Advertising, Internet, Local Business, Information Services, Apps",04/01/2003,Operating,07/18/2016,4344000000,1.33,4344,1.007
466,LeadGenius,453,"LeadGenius, University of California, Berkeley, Stream Global Services, MobileWorks, Oracle","University of Belgrade, University of California Berkeley, University of Nairobi, The University of the West Indies, Mona, INTI International University & Colleges","Information Technology, Data and Analytics, Software, Sales and Marketing, Professional Services","Berkeley, California, United States",1664,Series B,"$4,000,000",20000000,1.6,"Enterprise Software, Lead Generation, Big Data, Sales Automation, Outsourcing, Crowdsourcing",01/01/2011,Operating,12/05/2016,20000000,0.95,20,0.8
467,Truecaller,150,"Truecaller, Yahoo! Inc., LinkedIn, Seavus, Ericsson","Stockholm University, KTH Royal Institute of Technology, Univerzitet 'Sv. Kiril i Metódij' vo Skopje, Uppsala University, Linköping University","Apps, Information Technology, Software, Internet Services","Stockholm, Stockholms Lan, Sweden",1665,Series Unknown,"kr20,000,000",92955828,-0.9,"Search Engine, Apps, Contact Management",07/01/2009,Operating,03/28/2017,92955828,0.64,92.956,0.899
468,Alfresco,456,"Alfresco, IBM, Dell EMC, Oracle, OpenText","University of Bath, University of California Santa Barbara, Santa Clara University, Georgia Institute of Technology, Southern Polytechnic State University","Information Technology, Software","San Mateo, California, United States",1666,Series D,"$45,000,000",68500000,-0.6,"Collaboration, Enterprise Software, Enterprise, Document Management",01/01/2005,Operating,08/21/2014,68500000,3.24,68.5,0.817
469,GoEuro,251,"GoEuro, eBay, ImmobilienScout24, ResearchGate, Microsoft","Freie Universität Berlin, Cairo University, University of Leeds, Università Bocconi, Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen","Travel and Tourism, Internet Services","Berlin, Berlin, Germany",1670,Series C,"$70,000,000",146000000,-1.3,"Search Engine, Business Development, Travel, Internet",03/01/2012,Operating,10/03/2016,146000000,1.12,146,0.894
470,Pivot3,241,"Hewlett Packard Enterprise, Dell, SanDisk®, NexGen Storage, Cisco","The University of Texas at Austin, Texas State University, Wichita State University, University of Phoenix, University of Colorado Denver","Hardware, Media and Entertainment, Information Technology, Software, Video","Austin, Texas, United States",1673,Series H,"$55,000,000",253437500,-0.3,"Video, Software, Data Storage, Virtual Desktop, Data Center",01/01/2003,Operating,03/15/2016,253437500,1.68,253.438,1.029
471,PicsArt,324,"PicsArt Inc., Sourcio, be2, Monitis, BetConstruct","Yerevan State University, State Engineering University of Armenia, American University of Armenia, Russian - Armenian University, Armenian State University of Economics","Apps, Media and Entertainment, Software, Internet Services, Content and Publishing, Mobile","San Francisco, California, United States",1675,Series B,"$20,000,000",45000000,-1.2,"Mobile, Photo Editing, Apps, Social Media, Photography",01/01/2012,Operating,04/20/2016,45000000,1.58,45,0.877
472,Honor,218,"Google, Meebo, Apple, Home Instead Senior Care, Culver-Stockton College","Stanford University, Stanford University Graduate School of Business, General Assembly, Golden Gate University, University of California Santa Cruz","Information Technology, Health Care, Mobile","San Francisco, California, United States",1676,Series B,"$42,000,000",62000000,-2.7,"Mobile, Home Health Care, Information Technology, Information Services",08/01/2014,Operating,08/05/2016,62000000,1.28,62,1.345
473,Edmodo,129,"Edmodo, Gobierno de Aragón - Government of Aragon, Oracle, Friendster, PayPal","Stanford University, University of California Davis, Monash University, Universidad de Costa Rica, Mansoura University","Media and Entertainment, Software, Education, Internet Services, Content and Publishing","San Mateo, California, United States",1677,Series Unknown,,77500000,-2.9,"EdTech, Education, Blogging Platforms, Social Media",09/02/2008,Operating,09/06/2015,77500000,2.2,77.5,1.303
474,Cockroach Labs,43,"Google, Square, Microsoft, GoDaddy, Oracle","University of California Berkeley, University of Waterloo, Stanford University, Georgia Institute of Technology, Massachusetts Institute of Technology","Data and Analytics, Software","New York, New York, United States",1679,Series B,"$27,000,000",53500000,-2.7,"Database, Open Source, Enterprise Software",02/01/2015,Operating,05/10/2017,53500000,0.52,53.5,1.244
475,Hutch,268,"Hutch, Alice & Trixie, Excel Infoways Ltd, University of Denver, Comcast Cable","Bangalore University, University of Mumbai, Fashion Institute of Technology, Delhi University, The Institute of Chartered Accountants of India","Apps, Commerce and Shopping, Information Technology, Real Estate, Community and Lifestyle, Software, Consumer Goods, Internet Services, Messaging and Telecommunications, Mobile","West Hollywood, California, United States",1683,Series A,"$10,000,000",17135000,2.5,"Furniture, Lifestyle, Messaging, Apps, Home Decor, E-Commerce, Mobile",09/15/2015,Operating,07/12/2017,17135000,0.35,17.135,0.898
476,Health Catalyst,504,"Health Catalyst, Intermountain Healthcare, PeaceHealth, Allina Health, The Church of Jesus Christ of Latter-day Saints","University of Utah, Brigham Young University, University of Utah - David Eccles School of Business, Utah State University, Weber State University","Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Health Care","Salt Lake City, Utah, United States",1687,Series E,"$70,000,000",292000025,-0.4,"Computer, Software, Analytics, Health Care, Information Technology",01/01/2008,Operating,02/29/2016,292000025,1.72,292,0.879
