Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Essex Woodlands Health Ventures,/organization/essex-woodlands-health-ventures,80,26,"Palo Alto, California, United States",Essex Woodlands is a healthcare growth equity and venture capital firm.,"7,121",-0.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Village Ventures,/organization/village-ventures,94,26,"Williamstown, Massachusetts, United States",Village Ventures makes early stage investments in digital media and services and financial services.,"7,411",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Boston Millennia Partners,/organization/boston-millennia-partners,85,26,"Boston, Massachusetts, United States",Boston Millennia Partners provides private equity financing to high growth companies in the healthcare and business services industries.,"7,748",-0.5,Private Equity Firm,"Late Stage Venture, Secondary Market, Debt, Early Stage Venture, Private Equity"
Mission Ventures,/organization/mission-ventures,101,26,"San Diego, California, United States",Mission Ventures is a California-based venture capital firm providing investment and guidance to early-stage companies in emerging markets.,"8,207",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
BancBoston Ventures,/organization/bancboston-ventures,72,26,"Boston, Massachusetts, United States",BancBoston Ventures was the Bank of Bostonâ€™s early stage venture capital fund. Eventually the Bank of Boston was acquired by the Bank of,"8,416",0.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
Wellington Management,/organization/wellington-management,80,25,"Boston, Massachusetts, United States","Wellington Management Company is one of the largest private, independent investment management companies in the world.",305,7.5,"Venture Capital, Investment Bank","Early Stage Venture, Late Stage Venture, Private Equity"
Enterprise Ireland,/organization/enterprise-ireland,224,25,"Dublin, Dublin, Ireland",Enterprise Ireland is the government agency responsible for the development and promotion of the indigenous business sector.,"1,059",7,Government Office,"Seed, Grant, Late Stage Venture, Early Stage Venture, Private Equity"
LaunchCapital,/organization/launchcapital,209,25,"New Haven, Connecticut, United States",LaunchCapital was founded in January 2008 with a mission to help entrepreneurs gain quick access to seed capital and mentorship.,"1,536",-7.3,Micro VC,"Seed, Early Stage Venture"
Draper Esprit,/organization/draper-esprit,106,25,"London, England, United Kingdom",Draper Esprit is a Pan-European venture capital fund that invests into disruptive tech companies at the early and growth stages.,"1,717",-0.4,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture"
Northzone,/organization/northzone-ventures,132,25,"Stockholm, Stockholms Lan, Sweden","Northzone is a venture capital firm with offices in London, Stockholm, Oslo and New York.","1,781",-4.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Singtel Innov8,/organization/singtel-innov8,72,25,"Singapore, Central Region, Singapore","Singtel Innov8, the venture capital arm of the Singtel Group, invests in and partners with innovative tech start-ups worldwide.","1,800",3.3,Corporate Venture Capital,
Vulcan Capital,/organization/vulcan-capital,119,25,"Seattle, Washington, United States","Vulcan Capital is the investment arm of Paul Allen's private company, Vulcan Inc.","2,716",-3.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
US Department of Energy,/organization/us-department-of-energy,83,25,"Washington, District of Columbia, United States",US Department of Energy was founded in 1977 and traces its lineage to the Manhattan Project.,"2,889",4.1,Government Office,"Seed, Early Stage Venture, Debt, Grant"
Core Capital Partners,/organization/core-capital-partners,81,25,"Washington, District of Columbia, United States",Core Capital is a venture capital firm managing $350 million in private equity across two funds.,"4,559",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Square 1 Bank,/organization/square-1-bank,100,25,"Durham, North Carolina, United States",Square 1 Bank is a full-service commercial bank that provides financial services to entrepreneurs and venture capitalists.,"4,561",-2,Venture Debt,"Early Stage Venture, Late Stage Venture, Debt, Post-Ipo"
Rho Ventures,/organization/rho-ventures,96,25,"New York, New York, United States",Rho Ventures is a private equity firm that invests in high growth companies across multiple sectors.,"4,833",-1.6,"Venture Capital, Private Equity Firm","Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Quotidian Ventures,/organization/quotidian-ventures,78,25,"New York, New York, United States","Quotidian Ventures is a NYC pre-seed fund investing in companies using technology to transform large, existing industries.","6,300",-0.2,Micro VC,Seed
Pinnacle Ventures,/organization/pinnacle-ventures,74,25,"Menlo Park, California, United States",Pinnacle Ventures is a private venture capital fund focused on providing debt and equity financing to early-stage companies across,"6,815",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Perceptive Advisors,/organization/perceptive-advisors,39,25,"New York, New York, United States",Perceptive Advisors is a privately owned hedge fund sponsor that finances the public equity markets across the globe.,"6,869",-2.1,Hedge Fund,"Early Stage Venture, Late Stage Venture, Private Equity"
ABS Ventures,/organization/abs-ventures,81,25,"Waltham, Massachusetts, United States","Formed in 1982, ABS Ventures is a Boston-based venture capital firm backed by leading global institutional investors.","9,494",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Thomas Weisel Partners,/organization/thomas-weisel-partners-llc,48,25,"San Francisco, California, United States",Thomas Weisel Partners LLC is a full service investment bank focused on the growth sectors of the global economy primarily in the,"14,262",-0.7,Investment Bank,"Early Stage Venture, Late Stage Venture"
Norwest Mezzanine Partners,/organization/norwest-mezzanine-partners,50,25,"Minneapolis, Minnesota, United States",We support private equity sponsors and management teams to help them build successful companies.,"20,261",-0.7,Venture Capital,
Intel,/organization/intel,54,24,"Santa Clara, California, United States","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",102,6.7,,
Safeguard Scientifics,/organization/safeguard-scientifics,121,24,"Radnor, Pennsylvania, United States",Safeguard Scientifics provides capital and operational support to growth-stage health care and technology companies.,224,8.5,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
FundersClub,/organization/fundersclub,339,24,"San Francisco, California, United States",FundersClub is an online venture capital firm.,280,-3.2,Micro VC,"Seed, Early Stage Venture"
Stanford University,/organization/stanford-university,61,24,"Stanford, California, United States",Stanford University is one of the world's leading teaching and research universities.,533,-1.5,,
LocalGlobe,/organization/localglobe,146,24,"London, England, United Kingdom",LocalGlobe is a UK-based venture capital firm that focuses on seed and impact investments.,621,4.7,Venture Capital,
Eniac Ventures,/organization/eniac-ventures,128,24,"New York, New York, United States",Eniac Ventures leads seed rounds in bold founders who use code to create transformational companies.,949,-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Social Starts,/organization/social-starts,261,24,"San Francisco, California, United States",Social Starts is a $60M+ venture partnership that invests at the moment-of-inception and Series A.,"1,131",-0.6,Micro VC,"Seed, Early Stage Venture, Debt"
Grotech Ventures,/organization/grotech-ventures,134,24,"Vienna, Virginia, United States","Grotech Ventures is an early stage venture capital firm with a reputation for being a collaborative, long-term partner for entrepreneurs.","1,301",4.5,Venture Capital,Early Stage Venture
Keith Rabois,/person/keith-rabois,60,24,"San Francisco, California, United States","Mr. Rabois has a unique background as an entrepreneurial executive and investor. Since 2000, he has been instrumental in driving five startu...","2,271",-0.2,"Investment Partner, Individual/Angel",Seed
Morgan Stanley Expansion Capital,/organization/morgan-stanley-expansion-capital-2,40,24,"New York, New York, United States","Morgan Stanley Expansion Capital, a private equity firm, invests in technology, healthcare, consumer, digital media, and many other sectors.","3,626",2.2,Corporate Venture Capital,Late Stage Venture
ONSET Ventures,/organization/onset-ventures,129,24,"Menlo Park, California, United States",ONSET Ventures provides early-stage venture capital in the areas of IT and medical.,"5,771",-1,Venture Capital,"Early Stage Venture, Late Stage Venture"
HLM Venture Partners,/organization/hlm-venture-partners,82,24,"Boston, Massachusetts, United States","HLM Venture Partners is a proven, successful venture capital health care investor. Over 60 privately held health care companies have","5,776",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Starve Ups,/organization/starve-ups,147,24,"Portland, Oregon, United States","Starve Ups is a group of founders, from seven Oregon-based startup companies, as the state's first accelerator.","6,318",-5.8,Accelerator,
QuestMark Partners,/organization/questmark,74,24,"Baltimore, Maryland, United States","QuestMark Partners is an expansion-stage venture capital firm, providing growth capital to exceptional management teams across the U.S.","6,734",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Cross Creek Advisors,/organization/cross-creek-capital,49,24,"Salt Lake City, Utah, United States",Cross Creek seeks to invest in later stage companies through its direct and fund investment strategy.,"6,883",-0.1,Venture Capital,Late Stage Venture
Evergreen Venture Partners,/organization/evergreen-venture-partners,91,24,"Tel Aviv, Tel Aviv, Israel","Evergreen was established in 1987 by Jacob Burak as one of Israel's first Venture Capital firms, and has grown into a leader, generating","7,462",-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
